year,stage_number,stage_name,group_name,position,team_name,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
2006,1,group stage,Group G,3,South Korea,3,1,1,1,3,4,-1,4,0
2006,1,group stage,Group G,4,Togo,3,0,0,3,1,6,-5,0,0
2006,1,group stage,Group H,1,Spain,3,3,0,0,8,1,7,9,1
2006,1,group stage,Group H,2,Ukraine,3,2,0,1,5,4,1,6,1
2006,1,group stage,Group H,3,Tunisia,3,0,1,2,3,6,-3,1,0
2006,1,group stage,Group H,4,Saudi Arabia,3,0,1,2,2,7,-5,1,0
2010,1,group stage,Group A,1,Uruguay,3,2,1,0,4,0,4,7,1
2010,1,group stage,Group A,2,Mexico,3,1,1,1,3,2,1,4,1
2010,1,group stage,Group A,3,South Africa,3,1,1,1,3,5,-2,4,0
2010,1,group stage,Group A,4,France,3,0,1,2,1,4,-3,1,0
2010,1,group stage,Group B,1,Argentina,3,3,0,0,7,1,6,9,1
2010,1,group stage,Group B,2,South Korea,3,1,1,1,5,6,-1,4,1
2010,1,group stage,Group B,3,Greece,3,1,0,2,2,5,-3,3,0
2010,1,group stage,Group B,4,Nigeria,3,0,1,2,3,5,-2,1,0
2010,1,group stage,Group C,1,United States,3,1,2,0,4,3,1,5,1
2010,1,group stage,Group C,2,England,3,1,2,0,2,1,1,5,1
2010,1,group stage,Group C,3,Slovenia,3,1,1,1,3,3,0,4,0
2010,1,group stage,Group C,4,Algeria,3,0,1,2,0,2,-2,1,0
2010,1,group stage,Group D,1,Germany,3,2,0,1,5,1,4,6,1
2010,1,group stage,Group D,2,Ghana,3,1,1,1,2,2,0,4,1
2010,1,group stage,Group D,3,Australia,3,1,1,1,3,6,-3,4,0
2010,1,group stage,Group D,4,Serbia,3,1,0,2,2,3,-1,3,0
2010,1,group stage,Group E,1,Netherlands,3,3,0,0,5,1,4,9,1
2010,1,group stage,Group E,2,Japan,3,2,0,1,4,2,2,6,1
2010,1,group stage,Group E,3,Denmark,3,1,0,2,3,6,-3,3,0
2010,1,group stage,Group E,4,Cameroon,3,0,0,3,2,5,-3,0,0
2010,1,group stage,Group F,1,Paraguay,3,1,2,0,3,1,2,5,1
2010,1,group stage,Group F,2,Slovakia,3,1,1,1,4,5,-1,4,1
2010,1,group stage,Group F,3,New Zealand,3,0,3,0,2,2,0,3,0
2010,1,group stage,Group F,4,Italy,3,0,2,1,4,5,-1,2,0
2010,1,group stage,Group G,1,Brazil,3,2,1,0,5,2,3,7,1
2010,1,group stage,Group G,2,Portugal,3,1,2,0,7,0,7,5,1
2010,1,group stage,Group G,3,Ivory Coast,3,1,1,1,4,3,1,4,0
2010,1,group stage,Group G,4,North Korea,3,0,0,3,1,12,-11,0,0
