manager_name,manager_wikipedia_link,given_name,family_name,country_name,female
Gavriil Kachalin,https://en.wikipedia.org/wiki/Gavriil_Kachalin,Gavriil,Kachalin,Soviet Union,0
Jalel Kadri,https://en.wikipedia.org/wiki/Jalel_Kadri,Jalel,Kadri,Tunisia,0
Józef Kałuża,https://en.wikipedia.org/wiki/J%C3%B3zef_Ka%C5%82u%C5%BCa,Józef,Kałuża,Poland,0
Henryk Kasperczak,https://en.wikipedia.org/wiki/Henryk_Kasperczak,Henryk,Kasperczak,Poland,0
Srečko Katanec,https://en.wikipedia.org/wiki/Sre%C4%8Dko_Katanec,Srečko,Katanec,Slovenia,0
Matjaž Kek,https://en.wikipedia.org/wiki/Matja%C5%BE_Kek,Matjaž,Kek,Slovenia,0
Shelley Kerr,https://en.wikipedia.org/wiki/Shelley_Kerr,Shelley,Kerr,Scotland,1
Stephen Keshi,https://en.wikipedia.org/wiki/Stephen_Keshi,Stephen,Keshi,Nigeria,0
Mahieddine Khalef,https://en.wikipedia.org/wiki/Mahieddine_Khalef,Mahieddine,Khalef,Algeria,0
Kim Ho,https://en.wikipedia.org/wiki/Kim_Ho,Ho,Kim,South Korea,0
Kim Jong-hun,"https://en.wikipedia.org/wiki/Kim_Jong-hun_(footballer,_born_1956)",Jong-hun,Kim,North Korea,0
Kim Jung-nam,https://en.wikipedia.org/wiki/Kim_Jung-nam,Jung-nam,Kim,South Korea,0
Kim Kwang-min,"https://en.wikipedia.org/wiki/Kim_Kwang-min_(footballer,_born_1962)",Kwang-min,Kim,North Korea,0
Kim Yong-sik,https://en.wikipedia.org/wiki/Kim_Yong-sik,Yong-sik,Kim,South Korea,0
George Kimpton,https://en.wikipedia.org/wiki/Sid_Kimpton,George,Kimpton,England,0
Jürgen Klinsmann,https://en.wikipedia.org/wiki/J%C3%BCrgen_Klinsmann,Jürgen,Klinsmann,Germany,0
Karel Kolský,https://en.wikipedia.org/wiki/Karel_Kolsk%C3%BD,Karel,Kolský,Czechoslovakia,0
Niko Kovač,https://en.wikipedia.org/wiki/Niko_Kova%C4%8D,Niko,Kovač,Croatia,0
Zlatko Kranjčar,https://en.wikipedia.org/wiki/Zlatko_Kranj%C4%8Dar,Zlatko,Kranjčar,Croatia,0
Mladen Krstajić,https://en.wikipedia.org/wiki/Mladen_Krstaji%C4%87,Mladen,Krstajić,Serbia,0
Ladislao Kubala,https://en.wikipedia.org/wiki/Ladislao_Kubala,Ladislao,Kubala,Spain,0
Köbi Kuhn,https://en.wikipedia.org/wiki/K%C3%B6bi_Kuhn,Köbi,Kuhn,Switzerland,0
Ricardo La Volpe,https://en.wikipedia.org/wiki/Ricardo_La_Volpe,Ricardo,La Volpe,Argentina,0
Lars Lagerbäck,https://en.wikipedia.org/wiki/Lars_Lagerb%C3%A4ck,Lars,Lagerbäck,Sweden,0
Sabri Lamouchi,https://en.wikipedia.org/wiki/Sabri_Lamouchi,Sabri,Lamouchi,France,0
Eli Landsem,https://en.wikipedia.org/wiki/Eli_Landsem,Eli,Landsem,Norway,1
Manuel Lapuente,https://en.wikipedia.org/wiki/Manuel_Lapuente,Manuel,Lapuente,Mexico,0
Felix Latzke,https://en.wikipedia.org/wiki/Felix_Latzke,Felix,Latzke,Austria,0
Sebastião Lazaroni,https://en.wikipedia.org/wiki/Sebasti%C3%A3o_Lazaroni,Sebastião,Lazaroni,Brazil,0
Paul Le Guen,https://en.wikipedia.org/wiki/Paul_Le_Guen,Paul,Le Guen,France,0
Claude Le Roy,https://en.wikipedia.org/wiki/Claude_Le_Roy,Claude,Le Roy,France,0
Lee Hoe-taik,https://en.wikipedia.org/wiki/Lee_Hoe-taik,Hoe-taik,Lee,South Korea,0
Georges Leekens,https://en.wikipedia.org/wiki/Georges_Leekens,Georges,Leekens,Belgium,0
Roger Lemerre,https://en.wikipedia.org/wiki/Roger_Lemerre,Roger,Lemerre,France,0
José Letelier,https://en.wikipedia.org/wiki/Jos%C3%A9_Letelier,José,Letelier,Chile,0
Kleiton Lima,https://en.wikipedia.org/wiki/Kleiton_Lima,Kleiton,lima,Brazil,0
Marcello Lippi,https://en.wikipedia.org/wiki/Marcello_Lippi,Marcello,Lippi,Italy,0
Doug Livingstone,https://en.wikipedia.org/wiki/Doug_Livingstone,Doug,Livingstone,Scotland,0
Valeri Lobanovsky,https://en.wikipedia.org/wiki/Valeri_Lobanovsky,Valeri,Lobanovsky,Soviet Union,0
Valeriy Lobanovskyi,https://en.wikipedia.org/wiki/Valeriy_Lobanovskyi,Valeriy,Lobanovskyi,Soviet Union,0
Élisabeth Loisel,https://en.wikipedia.org/wiki/%C3%89lisabeth_Loisel,Élisabeth,Loisel,France,1
Juan López,https://en.wikipedia.org/wiki/Juan_L%C3%B3pez_Fontana,Juan,López,Uruguay,0
Antonio López Herranz,https://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_Herranz,Antonio,López Herranz,Spain,0
Juan Carlos Lorenzo,https://en.wikipedia.org/wiki/Juan_Carlos_Lorenzo,Juan Carlos,Lorenzo,Argentina,0
Ljubomir Lovrić,https://en.wikipedia.org/wiki/Ljubomir_Lovri%C4%87,Ljubomir,Lovrić,Yugoslavia,0
Joachim Löw,https://en.wikipedia.org/wiki/Joachim_L%C3%B6w,Joachim,Löw,Germany,0
Juan Luque de Serrallonga,https://en.wikipedia.org/wiki/Juan_Luque_de_Serrallonga,Juan,Luque de Serrallonga,Mexico,0
Ma Liangxing,https://en.wikipedia.org/wiki/Ma_Liangxing,Liangxing,Ma,China,0
Ma Yuanan,https://en.wikipedia.org/wiki/Ma_Yuanan,Yuanan,Ma,China,0
Nabil Maâloul,https://en.wikipedia.org/wiki/Nabil_Ma%C3%A2loul,Nabil,Maâloul,Tunisia,0
Ally MacLeod,https://en.wikipedia.org/wiki/Ally_MacLeod,Ally,MacLeod,Scotland,0
Cesare Maldini,https://en.wikipedia.org/wiki/Cesare_Maldini,Cesare,Maldini,Italy,0
Diego Maradona,https://en.wikipedia.org/wiki/Diego_Maradona,Diego,Maradona,Argentina,0
Jozef Marko,https://en.wikipedia.org/wiki/Jozef_Marko,Jozef,Marko,Czechoslovakia,0
Roberto Martínez,https://en.wikipedia.org/wiki/Roberto_Mart%C3%ADnez,Roberto,Martínez,Spain,0
Gerardo Martino,https://en.wikipedia.org/wiki/Gerardo_Martino,Gerardo,Martino,Argentina,0
Johan Mastenbroek,https://en.wikipedia.org/wiki/Johannes_Christoffel_Jan_Mastenbroek,Johan,Mastenbroek,Netherlands,0
Francisco Maturana,https://en.wikipedia.org/wiki/Francisco_Maturana,Francisco,Maturana,Colombia,0
Paolo Mazza,https://en.wikipedia.org/wiki/Paolo_Mazza,Paolo,Mazza,Italy,0
